iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 06, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"743,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"USB","US BANCORP","Financials","Equity","442,358,952.75","0.14","442,358,952.75","12,373,677.00","35.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","439,262,978.88","0.14","439,262,978.88","2,110,218.00","208.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","436,328,647.86","0.14","436,328,647.86","1,403,934.00","310.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","434,072,085.48","0.14","434,072,085.48","3,561,471.00","121.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","433,665,318.78","0.14","433,665,318.78","2,791,717.00","155.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","433,062,208.26","0.14","433,062,208.26","4,563,834.00","94.89","United States","NASDAQ","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","429,681,913.18","0.14","429,681,913.18","7,400,653.00","58.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","428,759,400.42","0.14","428,759,400.42","34,773,674.00","12.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","428,443,604.37","0.14","428,443,604.37","12,386,343.00","34.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","425,629,667.04","0.14","425,629,667.04","4,138,756.00","102.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","422,735,588.10","0.14","422,735,588.10","5,074,857.00","83.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","421,816,273.08","0.14","421,816,273.08","166,681.00","2,530.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Staples","Equity","421,830,211.36","0.14","421,830,211.36","1,985,644.00","212.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","420,937,249.62","0.14","420,937,249.62","1,484,997.00","283.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","417,857,472.90","0.14","417,857,472.90","1,399,295.00","298.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","415,548,538.20","0.14","415,548,538.20","2,023,020.00","205.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","413,440,995.35","0.14","413,440,995.35","245,335.00","1,685.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","410,384,958.60","0.13","410,384,958.60","941,898.00","435.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","410,012,492.16","0.13","410,012,492.16","5,280,944.00","77.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","409,132,460.23","0.13","409,132,460.23","2,997,527.00","136.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","407,109,798.40","0.13","407,109,798.40","6,457,960.00","63.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","391,481,918.10","0.13","391,481,918.10","2,301,481.00","170.10","United States","NASDAQ","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","389,626,888.80","0.13","389,626,888.80","2,389,616.00","163.05","United States","NASDAQ","USD","1.00","USD","-"
"DXCM","DEXCOM INC","Health Care","Equity","385,984,330.89","0.13","385,984,330.89","3,431,887.00","112.47","United States","NASDAQ","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","385,812,645.38","0.13","385,812,645.38","11,784,137.00","32.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","382,892,341.80","0.13","382,892,341.80","4,865,214.00","78.70","United States","NASDAQ","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","382,577,345.08","0.13","382,577,345.08","4,858,742.00","78.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","380,040,971.82","0.12","380,040,971.82","8,825,847.00","43.06","United States","NASDAQ","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","378,969,946.55","0.12","378,969,946.55","710,147.00","533.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","378,585,009.40","0.12","378,585,009.40","6,330,853.00","59.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","378,165,799.44","0.12","378,165,799.44","1,916,316.00","197.34","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","377,325,945.36","0.12","377,325,945.36","5,758,943.00","65.52","United States","NASDAQ","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","371,782,711.08","0.12","371,782,711.08","1,883,684.00","197.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","367,623,302.40","0.12","367,623,302.40","2,200,810.00","167.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","366,927,620.10","0.12","366,927,620.10","7,049,522.00","52.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","366,799,131.60","0.12","366,799,131.60","1,278,937.00","286.80","United States","NASDAQ","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","362,694,253.44","0.12","362,694,253.44","2,627,648.00","138.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","355,955,200.02","0.12","355,955,200.02","1,139,166.00","312.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","355,587,216.48","0.12","355,587,216.48","6,765,358.00","52.56","United States","NASDAQ","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","351,529,619.76","0.12","351,529,619.76","2,052,488.00","171.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","351,394,098.90","0.11","351,394,098.90","2,198,274.00","159.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","348,514,587.15","0.11","348,514,587.15","5,569,995.00","62.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY LTD","Information Technology","Equity","348,399,496.80","0.11","348,399,496.80","2,810,580.00","123.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","348,352,554.77","0.11","348,352,554.77","4,508,251.00","77.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","347,559,250.88","0.11","347,559,250.88","735,544.00","472.52","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","347,249,654.76","0.11","347,249,654.76","2,034,507.00","170.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HES","HESS CORP","Energy","Equity","347,182,417.92","0.11","347,182,417.92","2,464,384.00","140.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","346,535,634.90","0.11","346,535,634.90","767,130.00","451.73","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","346,395,647.83","0.11","346,395,647.83","4,860,329.00","71.27","United States","NASDAQ","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","345,763,291.50","0.11","345,763,291.50","5,853,450.00","59.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","342,190,020.42","0.11","342,190,020.42","6,260,337.00","54.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","341,679,416.04","0.11","341,679,416.04","6,103,598.00","55.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","339,204,412.95","0.11","339,204,412.95","1,305,285.00","259.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","337,062,004.64","0.11","337,062,004.64","6,598,708.00","51.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","333,667,424.16","0.11","333,667,424.16","460,663.00","724.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","333,151,593.39","0.11","333,151,593.39","1,691,039.00","197.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","332,795,551.06","0.11","332,795,551.06","2,366,462.00","140.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","328,506,544.20","0.11","328,506,544.20","2,486,802.00","132.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","327,667,076.90","0.11","327,667,076.90","935,470.00","350.27","United States","NASDAQ","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","327,005,327.88","0.11","327,005,327.88","2,246,996.00","145.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","324,873,338.90","0.11","324,873,338.90","3,058,495.00","106.22","United States","NASDAQ","USD","1.00","USD","-"
"STZ","CONSTELLATION BRANDS INC CLASS A","Consumer Staples","Equity","323,925,039.36","0.11","323,925,039.36","1,441,974.00","224.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","322,978,502.40","0.11","322,978,502.40","1,649,280.00","195.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNC","CENTENE CORP","Health Care","Equity","322,935,047.46","0.11","322,935,047.46","4,891,473.00","66.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","321,478,641.33","0.11","321,478,641.33","3,386,481.00","94.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","321,307,299.51","0.11","321,307,299.51","1,397,049.00","229.99","United States","NASDAQ","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","321,028,473.60","0.11","321,028,473.60","4,972,560.00","64.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","320,741,217.35","0.10","320,741,217.35","10,817,579.00","29.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","318,744,857.04","0.10","318,744,857.04","2,903,752.00","109.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","317,525,530.14","0.10","317,525,530.14","4,636,086.00","68.49","United States","NASDAQ","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","311,921,571.66","0.10","311,921,571.66","3,151,678.00","98.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","311,157,686.84","0.10","311,157,686.84","17,569,604.00","17.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","310,686,036.40","0.10","310,686,036.40","2,849,285.00","109.04","United States","NASDAQ","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","309,686,836.80","0.10","309,686,836.80","7,408,776.00","41.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","307,184,507.63","0.10","307,184,507.63","5,805,793.00","52.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","300,271,452.30","0.10","300,271,452.30","4,196,666.00","71.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","296,556,490.55","0.10","296,556,490.55","19,626,505.00","15.11","United States","NASDAQ","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","294,696,636.48","0.10","294,696,636.48","196,344.00","1,500.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","292,986,975.45","0.10","292,986,975.45","6,532,597.00","44.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","292,119,093.22","0.10","292,119,093.22","5,270,054.00","55.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","289,587,948.72","0.09","289,587,948.72","2,313,742.00","125.16","United States","NASDAQ","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","289,458,787.50","0.09","289,458,787.50","1,304,750.00","221.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","289,204,960.41","0.09","289,204,960.41","3,684,609.00","78.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","289,040,704.56","0.09","289,040,704.56","3,836,484.00","75.34","United States","NASDAQ","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","288,205,108.88","0.09","288,205,108.88","2,087,384.00","138.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","288,107,105.60","0.09","288,107,105.60","8,914,205.00","32.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","283,348,933.88","0.09","283,348,933.88","4,068,767.00","69.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","283,179,164.10","0.09","283,179,164.10","3,807,195.00","74.38","United States","NASDAQ","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","280,704,842.36","0.09","280,704,842.36","5,785,343.00","48.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","280,550,794.42","0.09","280,550,794.42","4,431,382.00","63.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","278,056,637.20","0.09","278,056,637.20","935,210.00","297.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","277,793,090.54","0.09","277,793,090.54","277,793,091.00","100.00","United States","-","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","277,431,342.90","0.09","277,431,342.90","1,019,406.00","272.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","276,776,357.30","0.09","276,776,357.30","7,071,445.00","39.14","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","276,504,014.82","0.09","276,504,014.82","1,254,954.00","220.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","276,342,426.00","0.09","276,342,426.00","2,801,525.00","98.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","275,863,068.25","0.09","275,863,068.25","2,039,653.00","135.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLTR","DOLLAR TREE INC","Consumer Staples","Equity","275,211,600.48","0.09","275,211,600.48","1,846,562.00","149.04","United States","NASDAQ","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","273,137,068.80","0.09","273,137,068.80","4,520,640.00","60.42","United States","NASDAQ","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","272,449,239.20","0.09","272,449,239.20","3,268,345.00","83.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","269,131,912.98","0.09","269,131,912.98","2,335,809.00","115.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","268,975,472.04","0.09","268,975,472.04","7,547,011.00","35.64","United States","NASDAQ","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","265,431,796.08","0.09","265,431,796.08","2,775,322.00","95.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","264,485,382.36","0.09","264,485,382.36","1,388,958.00","190.42","United States","NASDAQ","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","262,645,370.23","0.09","262,645,370.23","8,029,513.00","32.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","262,122,034.71","0.09","262,122,034.71","804,623.00","325.77","United States","NASDAQ","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","260,993,921.76","0.09","260,993,921.76","5,069,812.00","51.48","United States","NASDAQ","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","260,761,644.51","0.09","260,761,644.51","3,969,579.00","65.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","260,295,589.12","0.09","260,295,589.12","1,713,824.00","151.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES","Health Care","Equity","258,499,487.04","0.08","258,499,487.04","3,224,794.00","80.16","United States","NASDAQ","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","256,277,720.68","0.08","256,277,720.68","399,398.00","641.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","254,728,125.94","0.08","254,728,125.94","8,934,694.00","28.51","United States","NASDAQ","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","250,013,033.10","0.08","250,013,033.10","3,093,455.00","80.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANSS","ANSYS INC","Information Technology","Equity","249,187,498.56","0.08","249,187,498.56","773,682.00","322.08","United States","NASDAQ","USD","1.00","USD","-"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","249,008,450.40","0.08","249,008,450.40","958,905.00","259.68","United States","NASDAQ","USD","1.00","USD","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","247,909,182.36","0.08","247,909,182.36","2,406,418.00","103.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","247,548,960.90","0.08","247,548,960.90","1,824,237.00","135.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Industrials","Equity","246,914,542.64","0.08","246,914,542.64","3,611,974.00","68.36","United States","NASDAQ","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","246,696,474.50","0.08","246,696,474.50","1,583,926.00","155.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","246,093,770.40","0.08","246,093,770.40","3,391,590.00","72.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPN","GLOBAL PAYMENTS INC","Financials","Equity","245,570,354.00","0.08","245,570,354.00","2,336,540.00","105.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","240,746,012.64","0.08","240,746,012.64","1,863,792.00","129.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABC","AMERISOURCEBERGEN CORP","Health Care","Equity","239,054,099.25","0.08","239,054,099.25","1,437,055.00","166.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","238,943,692.53","0.08","238,943,692.53","14,299,443.00","16.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","236,084,347.52","0.08","236,084,347.52","3,099,847.00","76.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","235,426,682.10","0.08","235,426,682.10","451,918.00","520.95","United States","NASDAQ","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","232,198,484.28","0.08","232,198,484.28","2,553,596.00","90.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","231,169,524.10","0.08","231,169,524.10","981,070.00","235.63","United States","NASDAQ","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","230,577,492.00","0.08","230,577,492.00","1,207,212.00","191.00","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","230,542,836.70","0.08","230,542,836.70","6,760,787.00","34.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DFS","DISCOVER FINANCIAL SERVICES","Financials","Equity","230,068,959.12","0.08","230,068,959.12","2,371,356.00","97.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEN","LENNAR A CORP","Consumer Discretionary","Equity","229,818,810.06","0.08","229,818,810.06","2,251,801.00","102.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","229,407,115.50","0.08","229,407,115.50","1,632,210.00","140.55","United States","NASDAQ","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","227,489,061.10","0.07","227,489,061.10","6,357,995.00","35.78","United States","NASDAQ","USD","1.00","USD","-"
"WST","WEST PHARMACEUTICAL SERVICES INC","Health Care","Equity","226,664,431.04","0.07","226,664,431.04","657,532.00","344.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","226,466,934.84","0.07","226,466,934.84","3,284,986.00","68.94","United States","NASDAQ","USD","1.00","USD","-"
"HPQ","HP INC","Information Technology","Equity","224,833,291.19","0.07","224,833,291.19","7,676,111.00","29.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","224,451,998.55","0.07","224,451,998.55","948,135.00","236.73","United States","NASDAQ","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","223,522,162.24","0.07","223,522,162.24","2,904,394.00","76.96","United States","NASDAQ","USD","1.00","USD","-"
"CDW","CDW CORP","Information Technology","Equity","223,056,330.00","0.07","223,056,330.00","1,202,460.00","185.50","United States","NASDAQ","USD","1.00","USD","-"
"IT","GARTNER INC","Information Technology","Equity","220,207,947.50","0.07","220,207,947.50","701,858.00","313.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","218,855,201.75","0.07","218,855,201.75","616,025.00","355.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","217,577,817.32","0.07","217,577,817.32","1,992,106.00","109.22","United States","NASDAQ","USD","1.00","USD","-"
"EFX","EQUIFAX INC","Industrials","Equity","213,691,330.26","0.07","213,691,330.26","1,087,986.00","196.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materials","Equity","212,830,295.55","0.07","212,830,295.55","2,255,753.00","94.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","209,989,405.59","0.07","209,989,405.59","4,819,587.00","43.57","United States","NASDAQ","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","208,969,851.97","0.07","208,969,851.97","1,242,463.00","168.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALGN","ALIGN TECHNOLOGY INC","Health Care","Equity","208,486,696.60","0.07","208,486,696.60","645,190.00","323.14","United States","NASDAQ","USD","1.00","USD","-"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materials","Equity","207,082,214.95","0.07","207,082,214.95","2,264,431.00","91.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","206,805,673.85","0.07","206,805,673.85","2,296,055.00","90.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPC","GENUINE PARTS","Consumer Discretionary","Equity","203,167,581.96","0.07","203,167,581.96","1,251,957.00","162.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALB","ALBEMARLE CORP","Materials","Equity","202,561,814.48","0.07","202,561,814.48","1,040,486.00","194.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","201,963,181.23","0.07","201,963,181.23","1,269,171.00","159.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTV","FORTIVE CORP","Industrials","Equity","201,719,300.24","0.07","201,719,300.24","3,134,234.00","64.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FE","FIRSTENERGY CORP","Utilities","Equity","201,164,302.80","0.07","201,164,302.80","4,824,084.00","41.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","200,545,649.82","0.07","200,545,649.82","1,807,206.00","110.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
