iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 06, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"743,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DIS","WALT DISNEY","Communication","Equity","1,621,976,061.16","0.53","1,621,976,061.16","16,224,628.00","99.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,575,545,846.40","0.52","1,575,545,846.40","5,592,992.00","281.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","1,559,823,195.42","0.51","1,559,823,195.42","4,374,399.00","356.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,547,494,099.80","0.51","1,547,494,099.80","4,065,933.00","380.60","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,472,640,045.24","0.48","1,472,640,045.24","37,300,913.00","39.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,437,681,591.36","0.47","1,437,681,591.36","5,821,516.00","246.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,433,581,186.12","0.47","1,433,581,186.12","8,048,401.00","178.12","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,408,123,916.13","0.46","1,408,123,916.13","37,360,677.00","37.69","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","1,393,727,157.46","0.46","1,393,727,157.46","17,648,818.00","78.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,363,470,490.71","0.45","1,363,470,490.71","13,768,257.00","99.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","1,342,155,002.97","0.44","1,342,155,002.97","3,955,309.00","339.33","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,335,804,924.96","0.44","1,335,804,924.96","18,883,304.00","70.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,330,025,958.74","0.44","1,330,025,958.74","11,063,267.00","120.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1,324,170,769.88","0.43","1,324,170,769.88","14,320,004.00","92.47","United States","NASDAQ","USD","1.00","USD","-"
